,Date,Inflation_rate
0,2015Q2,0.6819485458137597
1,2015Q3,0.37770087778528083
2,2015Q4,-0.007567635744465395
3,2016Q1,-0.0620873399288846
4,2016Q2,0.7997834708611151
5,2016Q3,0.4244745544826012
6,2016Q4,0.6347825364148019
7,2017Q1,0.7037406181684025
8,2017Q2,0.1153768338628236
9,2017Q3,0.4780435851220677
10,2017Q4,0.7955306776687543
11,2018Q1,0.8426417154837162
12,2018Q2,0.5444105004913213
13,2018Q3,0.4018419306496934
14,2018Q4,0.4071205031659808
15,2019Q1,0.26697162635052063
16,2019Q2,0.7347166440616837
17,2019Q3,0.32987612015535905
18,2019Q4,0.7023590726152662
19,2020Q1,0.34097489349380616
20,2020Q2,-0.9434472666565052
21,2020Q3,1.1374837771691793
22,2020Q4,0.6974187534154019
23,2021Q1,1.0038958103757878
24,2021Q2,1.8782292534490708
25,2021Q3,1.5885976363374965
26,2021Q4,2.12185618136731
27,2022Q1,2.2052746216991936
28,2022Q2,2.415626850544994
29,2022Q3,1.303594139768438
30,2022Q4,0.992186363190295
31,2023Q1,0.9254760572441345
32,2023Q2,0.7515418726462331
33,2023Q3,0.846111599297017
34,2023Q4,0.6746519726000155
35,2024Q1,0.9382265657034594
36,2024Q2,0.6979867498276837
37,2024Q3,0.3044233997281376
38,2024Q4,0.42670328469207597
